date,value
2013/4/28,135.98
2013/4/29,147.49
2013/4/30,146.93
2013/5/1,139.89
2013/5/2,125.6
2013/5/3,108.13
2013/5/4,115
2013/5/5,118.8
2013/5/6,124.66
2013/5/7,113.44
2013/5/8,115.78
2013/5/9,113.46
2013/5/10,122
2013/5/11,118.68
2013/5/12,117.45
2013/5/13,118.7
2013/5/14,119.8
2013/5/15,115.81
2013/5/16,118.76
2013/5/17,125.3
2013/5/18,125.25
2013/5/19,124.5
2013/5/20,123.62
2013/5/21,123
2013/5/22,124
2013/5/23,126.93
2013/5/24,133.85
2013/5/25,133.22
2013/5/26,136
2013/5/27,135.47
2013/5/28,130.58
2013/5/29,132.59
2013/5/30,132.25
2013/5/31,129.9
2013/6/1,129.78
2013/6/2,129.4
2013/6/3,122.5
2013/6/4,123.84
2013/6/5,123.47
2013/6/6,123.1
2013/6/7,119
2013/6/8,111.42
2013/6/9,108.99
2013/6/10,110.1
2013/6/11,109.6
2013/6/12,111.79
2013/6/13,110.3
2013/6/14,104.7
2013/6/15,103.7
2013/6/16,101.6
2013/6/17,102.21
2013/6/18,111.11
2013/6/19,110.22
2013/6/20,114.3
2013/6/21,114.99
2013/6/22,109.96
2013/6/23,108.8
2013/6/24,108.33
2013/6/25,106.47
2013/6/26,105.49
2013/6/27,104
2013/6/28,101.74
2013/6/29,99.99
2013/6/30,98.12
2013/7/1,97.66
2013/7/2,92.3
2013/7/3,90.98
2013/7/4,83.11
2013/7/5,80
2013/7/6,75
2013/7/7,74.56
2013/7/8,80
2013/7/9,78.3
2013/7/10,87
2013/7/11,90.28
2013/7/12,104
2013/7/13,98.25
2013/7/14,98.7
2013/7/15,101.9
2013/7/16,99.86
2013/7/17,99.97
2013/7/18,98.8
2013/7/19,95.2
2013/7/20,93.1
2013/7/21,91.95
2013/7/22,92
2013/7/23,96.82
2013/7/24,95.99
2013/7/25,97.33
2013/7/26,97.47
2013/7/27,97
2013/7/28,100.58
2013/7/29,102.5
2013/7/30,107.99
2013/7/31,111.34
2013/8/1,108
2013/8/2,108
2013/8/3,105.78
2013/8/4,105.95
2013/8/5,107.77
2013/8/6,107.38
2013/8/7,106.75
2013/8/8,106.75
2013/8/9,105.75
2013/8/10,103.9
2013/8/11,105.19
2013/8/12,108
2013/8/13,109.35
2013/8/14,115
2013/8/15,113.25
2013/8/16,112.3
2013/8/17,113.75
2013/8/18,114.69
2013/8/19,123.06
2013/8/20,123.01
2013/8/21,124.91
2013/8/22,123.5
2013/8/23,122
2013/8/24,121.39
2013/8/25,122.99
2013/8/26,122.75
2013/8/27,127.24
2013/8/28,127.32
2013/8/29,123.7
2013/8/30,135.75
2013/8/31,140.89
2013/9/1,145.81
2013/9/2,146.5
2013/9/3,138.34
2013/9/4,144.5
2013/9/5,131.44
2013/9/6,127.34
2013/9/7,125.94
2013/9/8,124.72
2013/9/9,129.06
2013/9/10,129.74
2013/9/11,137.83
2013/9/12,136.08
2013/9/13,137.58
2013/9/14,135.85
2013/9/15,131.44
2013/9/16,132.72
2013/9/17,132.76
2013/9/18,133.2
2013/9/19,131.77
2013/9/20,135.62
2013/9/21,128.61
2013/9/22,133.94
2013/9/23,132.72
2013/9/24,127.46
